	RegionName	StateName	1/31/2019	2/28/2019	3/31/2019	4/30/2019	5/31/2019	6/30/2019	7/31/2019	8/31/2019	9/30/2019	10/31/2019	11/30/2019	12/31/2019	1/31/2020	2/29/2020	3/31/2020	4/30/2020	5/31/2020	lat	lng
352	Salem, OH	OH	48898	48964	48878	48826	48949	49185	49316	49577	49794	50029	50217	50372	50454	50686	51106	51587	52024	40.9008923	-80.8567501
353	Bay City, MI	MI	57848	57196	56361	55414	54867	54519	54497	54623	54921	54883	54956	55026	55410	55912	56513	57225	57850	43.5944677	-83.8888647
354	Lewiston, ME	ME	139113	139313	139547	140409	141241	142908	143879	144512	144788	145198	146316	148210	150113	151191	152034	152848	153607	44.100351	-70.21477639999999
355	Roseburg, OR	OR	131379	132531	133109	133297	134318	135187	136162	136762	136995	137754	138595	138966	139584	140831	142579	144872	146712	43.216505	-123.3417381
356	Sumter, SC	SC	45178	45688	45981	45211	44182	43291	43002	43118	42777	42429	42038	41780	41415	41087	41245	42183	43447	33.9204354	-80.3414693
357	Show Low, AZ	AZ	103236	103969	103961	104178	104962	106233	107570	108199	108959	109664	110337	110797	111326	112312	113982	115659	117058	34.2542084	-110.0298327
358	Meridian, MS	MS	39405	39559	39759	39810	39873	39827	39945	40043	40195	40349	40582	40789	40956	41110	41221	41410	41600	32.3643098	-88.703656
359	Bluefield, WV	WV	38373	38513	38583	38877	39194	39527	39687	39889	40041	40153	39941	39730	39535	39484	39400	39121	38842	37.2698395	-81.2223195
360	Danville, VA	VA	38216	38293	38411	38575	38690	38790	38822	38887	38990	39073	39074	39069	39046	39018	38957	38920	38944	36.5859718	-79.39502279999999
361	Lima, OH	OH	41457	41569	41625	41613	41688	41877	42057	42229	42229	42265	42369	42381	42505	42604	42694	42690	42697	40.742551	-84.1052256
362	Cookeville, TN	TN	84076	83542	83621	83812	84636	84937	84971	84964	84451	84161	84257	84511	84818	85297	85423	85805	86217	36.162839	-85.5016423
363	California-Lexington Park, MD	MD	169059	168300	168138	167797	168661	168468	167759	167754	167747	167989	166731	166051	165666	166623	166528	165898	164650	38.3004029	-76.5074542
364	Gadsden, AL	AL	63919	63923	64466	64595	63841	63004	62342	61873	61519	61267	61497	62019	62610	62687	62840	63516	64614	34.014264	-86.0066386
365	Cumberland, MD	MD	60504	61069	61250	61176	60922	60883	60815	60889	61044	61266	61432	61508	61433	61253	61219	61385	61694	39.6528654	-78.7625185
366	Longview, WA	WA	174596	177621	180100	181769	184261	186654	189216	190905	192889	194571	196243	197184	197780	198823	200037	201452	202783	46.1381676	-122.9381672
367	Whitewater, WI	WI	112896	112326	112736	114211	115892	116851	118109	119473	120933	121841	122516	123419	124729	126276	127259	128027	128355	42.83362049999999	-88.7323272
368	Fond du Lac, WI	WI	73627	74021	74554	74766	75515	76350	77569	78604	79398	80086	80640	80873	81090	81327	81700	82143	82459	43.7730448	-88.4470508
369	Ithaca, NY	NY	133043	132513	132150	131156	130474	130022	130073	130375	131070	131758	131881	132033	132314	133437	134506	136049	137463	42.4439614	-76.5018807
370	Ashtabula, OH	OH	60787	61165	61636	62735	63303	63407	63544	63910	64295	64634	65059	65094	65351	65230	65331	65255	65395	41.8650534	-80.7898089
371	Gettysburg, PA	PA	134738	135083	134842	134832	135297	136317	137064	137259	137558	137414	137567	137262	137485	137583	138202	138852	139325	39.8309293	-77.2310955
372	Pine Bluff, AR	AR	32529	32751	33233	33325	33767	34129	34847	35300	35897	36287	36497	36521	36368	36252	35936	35839	35323	34.2284312	-92.00319549999999
373	Tullahoma, TN	TN	69295	68644	68881	68890	68238	67499	66752	66836	67112	67367	67341	67624	67870	68253	68281	68761	69718	35.3620235	-86.20943419999999
374	Richmond, KY	KY	89634	90273	90674	91530	92714	93237	93708	94112	95205	95772	95910	95638	95632	95318	94792	94215	92987	37.7478572	-84.2946539
375	Adrian, MI	MI	119039	119536	119491	119609	120502	121585	122623	123082	124053	124688	125378	125457	125214	124761	124554	124279	123342	41.8975471	-84.03716589999999
376	Twin Falls, ID	ID	91866	92663	93084	93716	94315	95141	95812	96769	97463	98111	98202	98647	99707	100925	102457	103692	104977	42.5558381	-114.4700518
377	Corning, NY	NY	79950	79508	79437	79666	79978	80197	79799	79675	79483	79869	79965	80051	80133	80403	80469	80193	79890	42.1428521	-77.05469029999999
378	Sebring, FL	FL	56139	57119	57751	57734	58037	58703	59735	60388	60714	60905	61152	61407	61409	61515	61797	62698	63238	27.495592	-81.440907
379	Truckee, CA	CA	310248	309734	312144	317228	318807	318333	317774	317447	316044	313125	311354	311547	313273	314446	312403	307749	304210	39.327962	-120.1832533
380	Paducah, KY	KY	51847	52116	52381	52517	52733	52835	52945	53336	53614	53946	54109	54324	54428	54640	54869	55210	55642	37.0833893	-88.6000478
381	Grand Forks, ND	ND	110360	110736	111357	111684	111678	111480	111589	111813	112019	111824	111433	111095	110889	110698	110369	110144	109950	47.9252568	-97.0328547
382	Shelby, NC	NC	38133	38051	38251	38471	38787	38842	38843	38517	37966	37324	36906	36913	36986	37427	37530	37598	37623	35.2923513	-81.5356463
383	Fairbanks, AK	AK	133951	133984	133522	133034	133399	133484	133717	134926	135792	136340	136079	135894	135773	136389	136912	137257	137085	64.8377778	-147.7163888
384	Ocean City, NJ	NJ	178309	178702	178919	178758	178836	179353	179861	179988	180076	180236	180935	181688	182569	183520	185012	186859	188892	39.2776156	-74.5746001
385	Mankato, MN	MN	120717	121003	120173	119731	119554	120322	121005	121819	122485	123096	123145	123010	123257	123650	124896	125915	126818	44.1635775	-93.99939959999999
386	Rome, GA	GA	72898	74266	75772	76457	76840	77227	77689	78008	77514	77100	76760	76979	77099	77043	76902	76960	76985	34.257038	-85.1646726
387	Cape Girardeau, MO	MO	107154	107411	108542	108973	109169	108476	107738	107702	108204	109115	109104	108930	108741	108937	108507	107964	107388	37.3058839	-89.51814759999999
388	Hot Springs, AR	AR	91169	91301	91168	91275	91447	91686	91744	92044	93093	94436	95147	95555	95520	96295	97304	98404	99527	34.5037004	-93.0551795
389	Greenwood, SC	SC	62184	62465	62664	63003	63052	63069	63013	63152	63340	63452	63539	63604	63687	63883	64136	64460	65024	34.1954001	-82.1617883
390	Sunbury, PA	PA	52579	52803	52798	53259	53593	54117	54352	54701	54946	54930	54843	54819	55178	55416	55854	55905	56333	40.862585	-76.79441039999999
391	Clarksburg, WV	WV	51523	51990	52366	53099	53386	53628	53828	54209	54449	54744	54716	54639	54623	54787	55002	55103	55512	39.2806451	-80.34453409999999
392	Victoria, TX	TX	60491	60690	60915	61314	61632	61965	62155	62450	62747	63041	63333	63622	63909	64194	64477	64683	64935	28.8052674	-97.0035982
393	Talladega, AL	AL	47732	47742	48275	49013	50157	50789	51298	51865	52539	53157	53656	54242	55141	56242	56860	57459	57872	33.4359416	-86.1058048
394	Dubuque, IA	IA	114817	116371	117035	117521	117381	117504	117165	116219	115031	114610	114845	115448	115714	116028	117333	119115	121706	42.50226610000001	-90.66546749999999
395	The Villages, FL	FL	120028	121035	122241	122681	123087	123391	124439	126265	128142	129481	129865	129925	130004	130485	131072	131928	133007	28.927019	-82.0037608
396	Albertville, AL	AL	84490	84833	85713	86724	87929	89059	90146	91087	92621	94458	95610	96276	96397	97235	97919	98788	99001	34.2675937	-86.20886689999999
397	Manhattan, KS	KS	109002	110047	110859	110915	110272	109569	109755	110305	111340	111153	110581	109594	108677	108069	107647	107709	108031	39.18360819999999	-96.57166939999999
398	Parkersburg, WV	WV	55960	56233	56654	56937	57221	57397	57676	57959	58159	58359	58503	58625	58709	58842	58950	59222	59517	39.2667418	-81.56151349999999
399	New Philadelphia, OH	OH	77767	77938	77847	77791	78079	78335	78470	78280	78416	78027	77525	76298	75295	74925	74690	74383	73678	40.4897871	-81.4456706
400	Orangeburg, SC	SC	36319	36748	37023	37158	37165	37170	37218	37182	37333	37489	37439	37264	37063	36928	36852	36849	36929	33.4918203	-80.8556476
401	Cheyenne, WY	WY	154579	154953	156146	158783	160277	160806	160786	161285	162377	162842	163668	164123	164521	165402	166414	166668	167851	41.1399814	-104.8202462
402	New Castle, PA	PA	53145	53204	53428	53649	53855	54077	54406	54675	54972	55211	55243	55401	55539	55731	55751	55780	55717	41.0036719	-80.34700900000001
403	Brainerd, MN	MN	118028	118523	119239	119290	119993	120480	122179	123992	125962	127314	127964	128135	128031	128339	128294	128748	128033	46.3526733	-94.2020084
404	Kalispell, MT	MT	245374	248103	251138	253505	253912	253779	253813	255609	256908	258640	260209	262422	263977	265074	265683	266270	268147	48.1919889	-114.316813
405	Sevierville, TN	TN	189141	190460	192745	195034	198211	200848	203906	206771	209702	212320	215374	218569	221966	225376	228269	231248	233891	35.8681455	-83.56183500000002
406	Ames, IA	IA	119520	119742	120101	120630	121006	121029	120635	120503	120546	120756	121062	121411	121536	122044	122468	122672	122921	42.0307812	-93.63191309999999
407	Bozeman, MT	MT	416471	421029	424515	426714	431605	437898	443419	447193	450338	453651	458555	461216	464014	467582	472185	476341	478394	45.6769979	-111.0429339
408	Moses Lake, WA	WA	100514	101919	103497	105191	105872	105376	105141	106080	107454	109092	110176	110447	110926	111368	111738	112119	112804	47.1301417	-119.2780771
409	Indiana, PA	PA	87604	88168	88250	88598	89267	89927	90646	91432	92506	93664	94506	94898	95348	95961	96830	97642	98180	40.6214551	-79.15253489999999
410	Elmira, NY	NY	56382	56431	56367	56258	56183	56203	56295	56456	56552	56650	56455	56376	56337	56579	56786	56959	56993	42.0897965	-76.8077338
411	Meadville, PA	PA	71099	71496	71574	71972	72251	72412	72576	72894	73286	73412	73487	73389	73496	73626	73872	73886	73899	41.6414438	-80.15144839999999
412	Beaver Dam, WI	WI	107789	108775	109454	109991	109951	110870	111161	111427	111353	112032	112883	113807	114329	114554	114843	115308	116012	43.4577692	-88.837329
413	Pinehurst-Southern Pines, NC	NC	104271	104726	105151	105567	105727	105914	106145	106707	107354	108108	108987	110000	111151	112446	113892	115493	117398	35.1954345	-79.4694767
414	Ukiah, CA	CA	352906	353254	350267	347768	344287	343577	342115	340736	339214	338656	336185	334359	333225	333085	334372	334491	335406	39.1501709	-123.2077831
415	Hermiston-Pendleton, OR	OR	114658	114627	114833	115212	116038	116920	117528	117978	118374	118692	118894	119146	119230	119090	118544	117609	115974	45.6678793	-118.7814798
416	Lufkin, TX	TX	71022	71110	71582	71913	72176	72486	73004	73329	73005	72822	72756	73393	73664	73829	73704	73410	72760	31.3382406	-94.729097
417	Zanesville, OH	OH	51215	51528	51745	51849	51902	52091	52332	52563	52700	52860	53046	53185	53502	53826	54291	54564	54919	39.9403453	-82.0131924
418	Corvallis, OR	OR	302899	305082	306149	305292	305380	305143	304557	302785	300694	300828	301612	302914	303282	304085	305149	306608	306245	44.5645659	-123.2620435
419	Bloomsburg, PA	PA	98981	99955	101207	101944	102030	102281	102860	103786	104770	105562	105775	105939	106029	106008	105427	105183	105017	41.003698	-76.4549457
420	Laurel, MS	MS	76335	76521	76620	76973	77710	78110	78649	78726	79208	79396	79555	79729	79752	80158	80239	79945	78928	31.6940509	-89.1306124
421	Russellville, AR	AR	57470	58042	58671	59217	59435	59321	59825	60386	60988	61342	61070	60432	59991	59666	59532	58999	58999	35.2784173	-93.1337856
422	Branson, MO	MO	76172	75929	75980	76026	76274	76722	77283	77591	77968	78333	78889	79716	80269	80653	80825	81114	81423	36.6436731	-93.21851439999999
423	Watertown, WI	WI	138108	138557	138746	139686	140458	141349	142037	142383	143212	144089	145652	146809	148341	149708	151412	152363	153910	43.1947211	-88.7289918
424	Midland, MI	MI	83945	84265	84086	84330	83841	83377	82785	82417	82468	82320	82442	81911	81991	81865	82153	81856	81997	43.6155825	-84.2472116
425	Opelousas, LA	LA	60568	61469	62125	62619	63410	64536	64999	65287	65508	65562	65481	65686	65664	65671	65622	65667	65621	30.5335302	-92.081509
426	Pocatello, ID	ID	103028	104160	105235	106177	106583	107255	108316	110058	111450	113149	114399	115817	116592	118040	119634	121934	124584	42.8621042	-112.4506191
427	Kokomo, IN	IN	41187	41443	42277	42795	43370	43636	44176	44536	44667	44639	44678	44845	44944	44730	44230	43714	43163	40.486427	-86.13360329999999
428	Grants Pass, OR	OR	221820	220648	219445	216846	215907	215990	216181	216694	217267	217739	216918	217709	218236	220503	223147	227040	230297	42.4390069	-123.3283925
429	Huntsville, TX	TX	89742	89524	90050	90531	91201	91582	92012	92554	92898	93429	93389	93575	93584	93606	93181	93037	92882	30.7235263	-95.55077709999999
430	Plattsburgh, NY	NY	74193	75075	76243	76746	77002	77428	77701	78225	78213	78033	77839	78147	78093	77880	77560	77745	77774	44.6994873	-73.4529124
431	Grand Island, NE	NE	78660	79241	79652	79955	80378	80758	81128	81471	81912	82289	82446	82457	82415	82540	82790	82963	82886	40.9263957	-98.3420118
432	DuBois, PA	PA	85012	84576	84188	83443	83166	83774	84563	84259	83506	83000	83226	83579	83514	83359	83426	83957	84321	41.1210115	-78.7583257
433	Danville, IL	IL	33813	33987	34121	34259	34472	34720	34976	35021	35016	35075	35130	35219	35297	35308	35290	35164	35104	40.124481	-87.6300207
434	Manitowoc, WI	WI	57448	57868	58504	59319	59523	59572	59160	59235	59373	59789	60229	60621	60980	61448	61843	62029	62569	44.0886059	-87.657584
435	Great Falls, MT	MT	128368	128131	126605	125298	124408	123800	124049	124890	125432	124848	124231	123852	123810	124009	124634	125137	125654	47.5052849	-111.3007715
436	Wilson, NC	NC	29037	29133	29094	29111	29079	29130	29073	29062	29093	29201	29300	29342	29340	29323	29377	29420	29598	35.7212689	-77.9155395
437	Cullman, AL	AL	98890	99523	100200	100358	100266	100486	101194	101894	102425	103175	104253	105406	105617	105226	104709	104573	104496	34.1748208	-86.8436124
438	Olean, NY	NY	72015	72827	73203	73757	74360	74937	74585	74017	73548	73777	73883	74030	74121	74279	74616	74779	74804	42.083639	-78.42992699999999
439	Auburn, NY	NY	96212	96764	97716	98332	99189	99483	99863	99796	99545	99462	99232	99450	99355	99699	99500	99568	99296	42.9317335	-76.5660529
440	Portsmouth, OH	OH	43121	43295	43633	43797	43738	43586	43648	43744	43778	43776	43678	43642	43465	43275	42991	42724	42616	38.7317431	-82.9976742
441	Athens, TX	TX	71590	71755	71887	72506	73706	74343	74870	74701	75025	75273	75928	76411	77096	77530	78140	78375	78122	32.2048735	-95.8555207
442	Oak Harbor, WA	WA	393931	394639	395407	397180	398286	399057	398114	397893	398030	400086	402475	406053	408564	411389	413429	415245	417944	48.28829469999999	-122.6484205
443	Chillicothe, OH	OH	75834	76816	77496	78189	78379	78687	78947	79463	79955	80447	80750	80669	80502	80128	80017	79793	79909	39.3331197	-82.9824019
444	Hinesville, GA	GA	87458	87994	88109	88038	88310	88598	88774	88948	89271	89418	89417	89057	89136	89224	89634	90085	90410	31.8315028	-81.6141099
445	Somerset, PA	PA	69759	70128	70433	70679	70976	71285	71769	72219	72566	72832	73083	73349	73545	73704	73852	73997	73990	40.008411	-79.0780831
446	Warsaw, IN	IN	106749	107708	108316	107998	107944	107977	107867	107736	108066	108864	109569	109857	109759	109971	110558	111898	112898	41.2381	-85.8530469
447	Stillwater, OK	OK	66392	66767	67242	67823	68307	68736	69201	69493	69831	69957	70300	70696	71104	70859	70448	70113	69831	36.1156071	-97.0583681
448	Quincy, IL	IL	58334	58533	58739	59076	59392	59768	60056	60432	60798	61198	61390	61483	61636	61703	61724	61625	61479	39.9356016	-91.4098726
449	Keene, NH	NH	141301	141133	141402	141937	142564	142845	142985	143140	143411	143882	144063	144415	144671	145174	145893	146550	147081	42.933692	-72.2781409
450	Sandusky, OH	OH	78437	78629	78962	79507	79616	79634	79510	79634	79933	80102	80197	80217	80712	81231	81816	81990	82437	41.4561754	-82.71168209999999
451	Searcy, AR	AR	63500	63636	63947	64238	64837	65008	65384	64988	65075	65245	65598	65545	65750	66074	66259	66034	65445	35.2468204	-91.73368459999999
452	Columbus, IN	IN	90227	90729	92244	93269	93926	93904	93734	93683	93439	93603	93704	93556	92982	91981	90692	89617	88654	39.2014404	-85.9213796
453	Roanoke Rapids, NC	NC	31595	31543	31503	31482	31392	31308	31126	31063	30978	30953	30867	30741	30691	30701	30726	30711	30775	36.4615395	-77.6541464
454	Centralia, WA	WA	158259	160107	161925	163619	164749	165867	165872	166320	167192	168073	169042	170480	172738	175093	177631	179360	181860	46.7162136	-122.9542972
455	Casper, WY	WY	129982	130847	131326	131920	132719	133067	132663	132223	132210	132805	133274	133877	134336	135059	136253	137452	138351	42.8500769	-106.3251749
456	Helena, MT	MT	172380	174099	176203	177988	178947	180296	181827	183241	184503	185863	186709	187312	187497	186803	185503	184072	183156	46.5891452	-112.0391057
457	Findlay, OH	OH	87380	87343	87507	87778	88410	89178	89796	90495	91150	91702	92248	92950	93577	94131	94384	94769	95067	41.04422	-83.6499321
458	Wisconsin Rapids-Marshfield, WI	WI	55874	56203	56640	56965	57269	57601	57974	58290	58697	59098	59315	59574	59762	59916	59876	59881	59919	44.38684900000001	-89.798653
459	Palatka, FL	FL	73273	74000	73950	74387	75111	76073	76929	77886	79247	80234	80924	81092	81721	82431	83789	84849	85684	29.6485801	-81.6375819
460	Seneca, SC	SC	98725	99090	99536	99852	100171	101143	102495	103309	103785	104241	104654	105358	106572	108082	109109	109798	110387	34.6856555	-82.9532036
461	Mount Airy, NC	NC	69954	70167	70453	70901	71360	71534	71616	71611	71702	71623	71647	71558	71617	71600	71535	71517	71544	36.4993007	-80.6072858
462	Glenwood Springs, CO	CO	423364	423761	424057	426043	427202	428531	429700	431465	433198	434430	434636	434633	435285	436653	438105	438781	439982	39.5505376	-107.3247762
463	Key West, FL	FL	379729	384728	388259	391125	391034	391216	391265	391977	392480	392998	392665	391939	391723	391824	392787	393218	394824	24.5550593	-81.7799871
464	Aberdeen, WA	WA	98070	98152	98730	99471	100699	101339	101509	101351	101314	102384	103371	104322	104840	104982	104483	103632	102627	46.9753708	-123.8157218
465	Gallup, NM	NM	114436	116403	118091	119414	120449	121043	121026	121193	121267	121960	123179	124562	124882	124946	125191	125871	126466	35.5280783	-108.7425843
466	Port Angeles, WA	WA	201286	202536	203031	203348	204253	205837	207808	209463	212360	214622	215553	214519	213276	212049	211481	211445	210763	48.118146	-123.4307413
467	Greenfield Town, MA	MA	148429	146754	146389	145810	144720	143965	142779	142397	142236	142417	142037	141859	141746	142433	143104	144300	145810	42.587915	-72.5994104
468	Muskogee, OK	OK	31738	31882	32042	32280	32322	32337	32406	32602	32750	32818	32971	33159	33446	33664	33896	34108	34372	35.7478769	-95.3696909
469	Frankfort, KY	KY	66814	67179	67413	67807	67990	68321	68618	68887	69137	69423	69688	69903	70110	69994	69973	69747	69710	38.2009055	-84.87328350000001
470	Owosso, MI	MI	47643	47906	48143	48228	48505	48856	49222	49304	49500	49684	50028	50230	50457	50414	50408	50279	49974	42.9978049	-84.1766358
471	Mount Pleasant, MI	MI	70228	70981	71372	71724	71966	72763	73574	74152	74597	74873	75619	76176	76890	77111	77478	77772	78201	43.59780749999999	-84.7675139
472	Statesboro, GA	GA	103875	104568	105403	106152	106666	106812	107068	107404	107868	107826	107444	106957	106722	106729	106644	106497	106515	32.4487876	-81.7831674
473	Marion, IN	IN	24901	25067	25356	25553	25693	25637	25730	25861	26052	26194	26283	26316	26388	26488	26482	26540	26627	40.5583739	-85.6591442
474	Stevens Point, WI	WI	85537	85512	85590	85795	86226	86468	86863	87162	87555	87566	87289	87083	86946	87065	86984	86766	86652	44.52357920000001	-89.574563
475	Minot, ND	ND	115470	115079	115384	115728	116751	117791	118546	118956	118566	118536	118363	118442	118275	118361	117815	116859	115548	48.2329668	-101.2922906
476	Shawnee, OK	OK	33633	33657	33777	33733	33678	33901	34194	34468	34662	34695	34732	34936	35118	35262	35325	35441	35544	35.3272928	-96.9253004
477	North Wilkesboro, NC	NC	82498	82893	84029	84104	84692	84928	85464	85441	85508	85808	86284	87014	87112	87339	87015	87719	87971	36.1584651	-81.1475841
478	Richmond, IN	IN	45804	46619	46905	47341	47319	47420	47391	47560	47930	48421	48735	48917	48707	48555	48702	48847	49068	39.8289369	-84.8902382
479	Greeneville, TN	TN	64826	63845	64131	64689	65552	66136	66832	67222	67604	67980	68358	69351	70578	71783	71897	71627	71089	36.1631574	-82.83098609999999
480	Martinsville, VA	VA	32798	32887	32907	32877	32839	32678	32628	32337	32287	32220	32237	32173	32203	32346	32523	32687	32880	36.6915262	-79.8725386
481	Forest City, NC	NC	85578	85833	86069	86211	86624	86781	87071	87242	87422	87265	87027	86895	87002	87388	87783	88191	88425	35.3340108	-81.8651028
482	Lake City, FL	FL	72433	72412	72201	72726	73080	73557	73450	73675	74047	74546	74867	75239	75580	76254	77215	77658	78397	30.1896756	-82.6392899
483	Kapaa, HI	HI	468787	472076	475669	476018	476704	479396	482936	486260	489192	495308	499871	506684	509345	514078	519361	526598	533851	22.0881391	-159.3379818
484	Marquette, MI	MI	114376	114732	115011	115426	115976	116693	117449	118101	118705	119071	119147	119290	119483	119730	119946	120015	120058	46.5436199	-87.3953713
485	LaGrange, GA	GA	24112	24134	24199	24183	24201	24237	24292	24320	24380	24364	24365	24372	24449	24511	24530	24512	24532	33.0362218	-85.0322444
486	Marion, OH	OH	45641	46101	46387	46566	46583	46563	46675	46785	46894	46949	47018	46882	46815	46709	46783	46843	46967	40.5886699	-83.1285242
487	Morehead City, NC	NC	140211	140091	140568	141923	144008	146074	147117	148017	148515	149610	150311	151233	151314	152528	153518	153855	153457	34.7229391	-76.7260436
488	Klamath Falls, OR	OR	94025	93561	93731	93948	94810	95208	95151	94601	94670	94774	95292	95943	96961	98212	99124	99915	100323	42.224867	-121.7816704
489	Marinette, WI	WI	63905	64170	64605	64939	65378	65660	65825	65804	65906	66304	66707	67133	67429	67629	67574	67543	67494	45.0999849	-87.6306623
490	Roswell, NM	NM	71339	71850	72248	72221	72063	72042	72435	72646	72886	73196	73459	73706	73774	73802	73880	74549	75379	33.3942655	-104.5230242
491	Marshall, TX	TX	92417	92695	92548	92993	93140	93293	93319	93730	94347	94758	94576	94143	93934	93841	94163	93879	93766	32.5448714	-94.36741839999999
492	Farmington, MO	MO	42681	42714	42791	43100	43376	43649	43966	44508	44867	45256	45683	46058	46465	46704	46942	47139	47403	37.7808846	-90.4217895
493	Charleston, IL	IL	45008	45004	44787	44902	45123	45628	45993	46247	46362	46365	46388	46453	46819	47137	47595	47798	47921	39.4961458	-88.1761521
494	Athens, OH	OH	55801	56036	56306	56853	57129	57294	57226	57313	57382	57630	57731	57773	57890	58104	58225	58241	58372	39.3292396	-82.1012554
495	Hobbs, NM	NM	81825	83093	84558	85083	85755	86171	87236	87967	88702	89123	88956	88995	89008	89211	88967	89045	89326	32.7026116	-103.1360403
496	Clearlake, CA	CA	134981	136238	137255	138402	138849	138849	140390	143650	146157	146802	146117	145090	145024	145591	146676	147669	149300	38.9582307	-122.6263728
497	Nacogdoches, TX	TX	70641	71061	71794	72326	72595	72707	72910	73197	73243	73633	73514	73670	74168	74716	75053	75181	75639	31.6035129	-94.6554874
498	Hutchinson, KS	KS	35282	35075	34745	34566	34755	34975	35136	35042	34987	34925	34896	34905	35097	35248	35501	35640	35694	38.0608445	-97.92977429999999
499	Faribault, MN	MN	182120	182069	182447	182734	183600	183384	183079	184042	185344	186308	186155	186179	186779	187431	187520	187014	186468	44.2949636	-93.268827
500	Elizabeth City, NC	NC	89445	89044	88988	89524	90283	90801	91150	90789	90728	90142	89711	89077	89340	90534	91617	92523	93159	36.2946008	-76.2510461
501	Ionia, MI	MI	76452	77110	77521	78129	78759	79604	80570	81547	82432	83318	84607	85877	87268	88151	89356	90496	91611	42.9872547	-85.07111739999999
502	Alamogordo, NM	NM	83836	84378	84945	85131	85637	85991	86645	86610	86696	86242	86151	85788	85563	85210	84836	84595	84341	32.8995325	-105.960265
503	Red Bluff, CA	CA	116489	117439	119070	121078	122455	122745	123573	124999	127102	127941	128490	128852	129518	129925	130345	130475	130988	40.1784886	-122.2358302
504	Hudson, NY	NY	186827	187444	188523	188539	189316	189245	189771	189241	188782	188846	189102	189615	189944	191140	191706	192489	192885	42.2528649	-73.790959
505	Somerset, KY	KY	79002	80032	80520	81087	81443	81999	82144	82187	82098	81882	81539	81070	80477	79762	79093	78190	77193	37.0920222	-84.6041084
506	Coos Bay, OR	OR	146957	149102	151007	151701	152313	152698	154039	154699	154870	154639	155255	155755	155698	154782	154537	155535	156328	43.3665007	-124.2178903
507	Walla Walla, WA	WA	130361	130301	130727	131728	132757	133773	134409	135277	136086	136735	137079	137588	138101	138627	138590	137923	137219	46.0645809	-118.3430208
508	Sayre, PA	PA	105117	105169	104577	104407	104806	105159	104619	103522	102405	101837	101548	101779	102053	102386	102625	102921	103257	41.9789631	-76.51549899999999
509	Oneonta, NY	NY	104769	105347	105857	106294	106609	106975	107303	107732	108005	108338	108775	109300	109825	109958	110118	110271	110640	42.4528571	-75.0637746
510	Fort Madison, IA	IA	41652	41813	42016	41972	41949	42102	42300	42531	42598	42654	42730	42736	42515	42215	41947	41867	41782	40.6297634	-91.31453499999999
511	Baraboo, WI	WI	75513	76358	77057	77896	78423	79321	80092	80993	81560	82044	82314	82702	83282	83465	83670	83608	83927	43.4710944	-89.74429060000001
512	Marietta, OH	OH	58880	59152	59449	59786	59920	60102	60191	60536	60758	61210	61332	61513	61559	61751	62025	62253	62640	39.41535200000001	-81.45484359999999
513	Salina, KS	KS	58296	58147	57998	58210	58293	58428	58547	58545	58478	58591	58693	58901	59022	59102	59054	58823	58712	38.8402805	-97.61142369999999
514	Rutland, VT	VT	125847	126292	125804	126185	125213	124878	124143	124193	124024	123800	123451	123502	124129	124429	125257	125925	127497	43.6106237	-72.9726065
515	Big Stone Gap, VA	VA	39530	39419	39565	39720	39871	39912	40075	40054	40035	40045	40005	39940	39778	39634	39270	38934	38525	36.8586404	-82.78324889999999
516	Sturgis, MI	MI	74700	75115	75501	75949	76768	77767	78520	79202	79709	80253	80933	81590	82170	82333	82401	82375	81866	41.799217	-85.41914820000001
517	Rio Grande City, TX	TX	62594	62756	62961	63196	63614	64041	64466	64715	64937	65120	65253	65333	65359	65330	65245	65103	64825	26.3797874	-98.8203046
518	Fremont, OH	OH	71441	71771	72086	72310	72362	72459	72616	72945	73151	73325	73236	73143	73112	73146	73199	73355	73712	41.3503303	-83.1218634
519	Mount Vernon, OH	OH	80706	81430	82173	83043	83615	84285	84748	85340	85789	86373	86904	87437	88003	88464	88902	89151	89658	40.3933956	-82.4857181
520	Lewiston, ID	ID	135335	136175	136999	137833	138500	138923	139290	139731	140090	140785	141274	141696	141755	141701	141478	141068	140903	46.4004089	-117.001189
521	Shelton, WA	WA	219105	220065	221265	222707	225015	227671	230132	232086	234062	235815	237828	240441	243165	246125	248285	249844	251131	47.2150945	-123.1007066
522	Albemarle, NC	NC	51248	51578	51765	51925	51991	52142	52184	52293	52428	52545	52549	52574	52642	52758	52943	53169	53487	35.3501426	-80.2000578
523	Enid, OK	OK	17645	17619	17645	17635	17656	17651	17714	17825	17850	17812	17718	17743	17811	17863	17826	17766	17696	36.3955891	-97.8783911
524	Jefferson, GA	GA	120435	119530	119677	117593	116085	115025	114472	114350	114677	115267	116168	118076	119529	121322	122503	125398	128127	34.1170537	-83.5723876
525	Georgetown, SC	SC	152268	152423	151976	151663	151262	151445	151736	151444	150911	150064	149272	148870	148671	148665	148986	149004	149220	33.376834	-79.2944964
526	Laconia, NH	NH	150015	149956	151063	152020	153859	154946	156179	157030	158171	159246	160496	161841	163416	164717	165517	166201	166236	43.5278546	-71.4703509
527	Batavia, NY	NY	73232	73262	73729	74001	74478	74766	75095	75480	75848	76280	76766	77357	77871	78531	78847	79276	79569	42.9981156	-78.1875167
528	Oxford, NC	NC	118932	119536	119893	120742	121498	122755	123387	123782	124293	124608	125118	125309	125642	125978	126441	126812	127187	36.3107004	-78.5908345
